Date,itemName,p_mean,p_75,p_25,weighting,p_mean_weighted,p_75_weighted,p_25 weighted
01/09/2021,Bacon,8.256742,10.42,5.49,0.08,0.66053936,0.8336,0.4392
01/10/2021,Bacon,8.227324,9.99,5.63,0.08,0.65818592,0.7992,0.4504
01/11/2021,Bacon,8.272774,10.25,5.63,0.08,0.66182192,0.82,0.4504
01/12/2021,Bacon,8.32414,10.42,5.63,0.08,0.6659312,0.8336,0.4504
01/01/2022,Bacon,8.263165,9.99,5.63,0.08,0.6610532,0.7992,0.4504
01/02/2022,Bacon,8.202417,9.8,5.63,0.08,0.65619336,0.784,0.4504
01/03/2022,Bacon,8.17147,9.54,5.63,0.08,0.6537176,0.7632,0.4504
01/04/2022,Bacon,8.319672,10.2,5.63,0.08,0.66557376,0.816,0.4504
01/05/2022,Bacon,8.386985,10.12,5.63,0.08,0.6709588,0.8096,0.4504
01/06/2022,Bacon,8.902518,10.99,5.84,0.08,0.71220144,0.8792,0.4672
01/07/2022,Bacon,9.015698,10.99,6.17,0.08,0.72125584,0.8792,0.4936
01/08/2022,Bacon,9.013885,10.99,6.17,0.08,0.7211108,0.8792,0.4936
01/09/2022,Bacon,9.256743,11.02,6.67,0.08,0.74053944,0.8816,0.5336
01/10/2022,Bacon,9.255598,11.99,6.5,0.08,0.74044784,0.9592,0.52
01/11/2022,Bacon,9.37923,11.99,6.545,0.08,0.7503384,0.9592,0.5236
01/01/2006,Baked Beans,0.4031429,0.45,0.28,0.3,0.12094287,0.135,0.084
01/02/2006,Baked Beans,0.407217,0.45,0.28,0.3,0.1221651,0.135,0.084
01/03/2006,Baked Beans,0.4040724,0.45,0.28,0.3,0.12122172,0.135,0.084
01/04/2006,Baked Beans,0.4010145,0.45,0.28,0.3,0.12030435,0.135,0.084
01/05/2006,Baked Beans,0.4010599,0.45,0.28,0.3,0.12031797,0.135,0.084
01/06/2006,Baked Beans,0.4035586,0.45,0.28,0.3,0.12106758,0.135,0.084
01/07/2006,Baked Beans,0.4056696,0.455,0.28,0.3,0.12170088,0.1365,0.084
01/08/2006,Baked Beans,0.4233929,0.47,0.31,0.3,0.12701787,0.141,0.093
01/09/2006,Baked Beans,0.4263964,0.48,0.31,0.3,0.12791892,0.144,0.093
01/10/2006,Baked Beans,0.4300893,0.48,0.31,0.3,0.12902679,0.144,0.093
01/11/2006,Baked Beans,0.4345283,0.49,0.31,0.3,0.13035849,0.147,0.093
01/12/2006,Baked Beans,0.4356744,0.49,0.31,0.3,0.13070232,0.147,0.093
01/01/2007,Baked Beans,0.4339726,0.49,0.31,0.3,0.13019178,0.147,0.093
01/02/2007,Baked Beans,0.4250909,0.48,0.31,0.3,0.12752727,0.144,0.093
01/03/2007,Baked Beans,0.4194619,0.48,0.31,0.3,0.12583857,0.144,0.093
01/04/2007,Baked Beans,0.42375,0.48,0.31,0.3,0.127125,0.144,0.093
01/05/2007,Baked Beans,0.4306167,0.49,0.31,0.3,0.12918501,0.147,0.093
01/06/2007,Baked Beans,0.4317593,0.495,0.28,0.3,0.12952779,0.1485,0.084
01/07/2007,Baked Beans,0.4300905,0.49,0.28,0.3,0.12902715,0.147,0.084
01/08/2007,Baked Beans,0.4286937,0.49,0.25,0.3,0.12860811,0.147,0.075
01/09/2007,Baked Beans,0.4403588,0.49,0.31,0.3,0.13210764,0.147,0.093
01/10/2007,Baked Beans,0.4462946,0.49,0.31,0.3,0.13388838,0.147,0.093
01/11/2007,Baked Beans,0.4495475,0.49,0.35,0.3,0.13486425,0.147,0.105
01/12/2007,Baked Beans,0.4451111,0.49,0.31,0.3,0.13353333,0.147,0.093
01/01/2008,Baked Beans,0.4501802,0.52,0.31,0.3,0.13505406,0.156,0.093
01/02/2008,Baked Beans,0.4421101,0.49,0.31,0.3,0.13263303,0.147,0.093
01/03/2008,Baked Beans,0.4408108,0.49,0.31,0.3,0.13224324,0.147,0.093
01/04/2008,Baked Beans,0.46,0.53,0.35,0.3,0.138,0.159,0.105
01/05/2008,Baked Beans,0.4674208,0.53,0.35,0.3,0.14022624,0.159,0.105
01/06/2008,Baked Beans,0.4706278,0.53,0.35,0.3,0.14118834,0.159,0.105
01/07/2008,Baked Beans,0.4684821,0.53,0.35,0.3,0.14054463,0.159,0.105
01/08/2008,Baked Beans,0.4620889,0.53,0.32,0.3,0.13862667,0.159,0.096
01/09/2008,Baked Beans,0.4624775,0.52,0.32,0.3,0.13874325,0.156,0.096
01/10/2008,Baked Beans,0.4872247,0.52,0.41,0.3,0.14616741,0.156,0.123
01/11/2008,Baked Beans,0.5590265,0.65,0.41,0.3,0.16770795,0.195,0.123
01/12/2008,Baked Beans,0.5545778,0.64,0.41,0.3,0.16637334,0.192,0.123
01/01/2009,Baked Beans,0.5589285,0.64,0.41,0.3,0.16767855,0.192,0.123
01/02/2009,Baked Beans,0.5529907,0.64,0.41,0.3,0.16589721,0.192,0.123
01/03/2009,Baked Beans,0.5448661,0.64,0.41,0.3,0.16345983,0.192,0.123
01/04/2009,Baked Beans,0.5436444,0.64,0.41,0.3,0.16309332,0.192,0.123
01/05/2009,Baked Beans,0.5480717,0.64,0.41,0.3,0.16442151,0.192,0.123
01/06/2009,Baked Beans,0.5498642,0.64,0.41,0.3,0.16495926,0.192,0.123
01/07/2009,Baked Beans,0.570543,0.64,0.48,0.3,0.1711629,0.192,0.144
01/08/2009,Baked Beans,0.5728,0.64,0.48,0.3,0.17184,0.192,0.144
01/09/2009,Baked Beans,0.5651121,0.64,0.48,0.3,0.16953363,0.192,0.144
01/10/2009,Baked Beans,0.5705381,0.64,0.48,0.3,0.17116143,0.192,0.144
01/11/2009,Baked Beans,0.5626126,0.64,0.48,0.3,0.16878378,0.192,0.144
01/12/2009,Baked Beans,0.5673777,0.64,0.48,0.3,0.17021331,0.192,0.144
01/01/2010,Baked Beans,0.5759031,0.64,0.48,0.3,0.17277093,0.192,0.144
01/02/2010,Baked Beans,0.5630667,0.64,0.48,0.3,0.16892001,0.192,0.144
01/03/2010,Baked Beans,0.5638667,0.64,0.48,0.3,0.16916001,0.192,0.144
01/04/2010,Baked Beans,0.5482278,0.64,0.47,0.3,0.16446834,0.192,0.141
01/05/2010,Baked Beans,0.5469748,0.64,0.47,0.3,0.16409244,0.192,0.141
01/06/2010,Baked Beans,0.5531645,0.64,0.48,0.3,0.16594935,0.192,0.144
01/07/2010,Baked Beans,0.5600418,0.64,0.47,0.3,0.16801254,0.192,0.141
01/08/2010,Baked Beans,0.5492017,0.64,0.47,0.3,0.16476051,0.192,0.141
01/09/2010,Baked Beans,0.5773222,0.64,0.49,0.3,0.17319666,0.192,0.147
01/10/2010,Baked Beans,0.5751046,0.64,0.48,0.3,0.17253138,0.192,0.144
01/11/2010,Baked Beans,0.577839,0.64,0.49,0.3,0.1733517,0.192,0.147
01/12/2010,Baked Beans,0.5780753,0.64,0.49,0.3,0.17342259,0.192,0.147
01/01/2011,Baked Beans,0.5767227,0.67,0.49,0.3,0.17301681,0.201,0.147
01/02/2011,Baked Beans,0.6107042,0.69,0.49,0.3,0.18321126,0.207,0.147
01/03/2011,Baked Beans,0.5949524,0.67,0.49,0.3,0.17848572,0.201,0.147
01/04/2011,Baked Beans,0.5947059,0.64,0.49,0.3,0.17841177,0.192,0.147
01/05/2011,Baked Beans,0.58405,0.64,0.49,0.3,0.175215,0.192,0.147
01/06/2011,Baked Beans,0.5810233,0.64,0.52,0.3,0.17430699,0.192,0.156
01/07/2011,Baked Beans,0.6087793,0.69,0.52,0.3,0.18263379,0.207,0.156
01/08/2011,Baked Beans,0.6027354,0.69,0.38,0.3,0.18082062,0.207,0.114
01/09/2011,Baked Beans,0.576681,0.69,0.37,0.3,0.1730043,0.207,0.111
01/10/2011,Baked Beans,0.5991228,0.69,0.37,0.3,0.17973684,0.207,0.111
01/11/2011,Baked Beans,0.6061137,0.69,0.36,0.3,0.18183411,0.207,0.108
01/12/2011,Baked Beans,0.5958079,0.69,0.42,0.3,0.17874237,0.207,0.126
01/01/2012,Baked Beans,0.5938565,0.69,0.42,0.3,0.17815695,0.207,0.126
01/02/2012,Baked Beans,0.5964255,0.69,0.42,0.3,0.17892765,0.207,0.126
01/03/2012,Baked Beans,0.5880445,0.69,0.42,0.3,0.17641335,0.207,0.126
01/04/2012,Baked Beans,0.5933194,0.68,0.42,0.3,0.17799582,0.204,0.126
01/05/2012,Baked Beans,0.5933194,0.69,0.42,0.3,0.17799582,0.207,0.126
01/06/2012,Baked Beans,0.5914768,0.7,0.41,0.3,0.17744304,0.21,0.123
01/07/2012,Baked Beans,0.5797899,0.7,0.4,0.3,0.17393697,0.21,0.12
01/08/2012,Baked Beans,0.5884711,0.7,0.4,0.3,0.17654133,0.21,0.12
01/09/2012,Baked Beans,0.5690082,0.7,0.41,0.3,0.17070246,0.21,0.123
01/10/2012,Baked Beans,0.5650622,0.7,0.41,0.3,0.16951866,0.21,0.123
01/11/2012,Baked Beans,0.5956722,0.7,0.41,0.3,0.17870166,0.21,0.123
01/12/2012,Baked Beans,0.5930544,0.7,0.4,0.3,0.17791632,0.21,0.12
01/01/2013,Baked Beans,0.5869748,0.7,0.45,0.3,0.17609244,0.21,0.135
01/02/2013,Baked Beans,0.6030252,0.7,0.45,0.3,0.18090756,0.21,0.135
01/03/2013,Baked Beans,0.5970417,0.7,0.45,0.3,0.17911251,0.21,0.135
01/04/2013,Baked Beans,0.5858159,0.68,0.45,0.3,0.17574477,0.204,0.135
01/05/2013,Baked Beans,0.58841,0.68,0.45,0.3,0.176523,0.204,0.135
01/06/2013,Baked Beans,0.5724896,0.69,0.45,0.3,0.17174688,0.207,0.135
01/07/2013,Baked Beans,0.5849153,0.69,0.45,0.3,0.17547459,0.207,0.135
01/08/2013,Baked Beans,0.584832,0.69,0.45,0.3,0.1754496,0.207,0.135
01/09/2013,Baked Beans,0.5896653,0.69,0.45,0.3,0.17689959,0.207,0.135
01/10/2013,Baked Beans,0.5715,0.68,0.45,0.3,0.17145,0.204,0.135
01/11/2013,Baked Beans,0.5874895,0.68,0.45,0.3,0.17624685,0.204,0.135
01/12/2013,Baked Beans,0.5898305,0.685,0.45,0.3,0.17694915,0.2055,0.135
01/01/2014,Baked Beans,0.594125,0.68,0.45,0.3,0.1782375,0.204,0.135
01/02/2014,Baked Beans,0.5908787,0.68,0.45,0.3,0.17726361,0.204,0.135
01/03/2014,Baked Beans,0.5912605,0.68,0.45,0.3,0.17737815,0.204,0.135
01/04/2014,Baked Beans,0.5947917,0.7,0.45,0.3,0.17843751,0.21,0.135
01/05/2014,Baked Beans,0.5524895,0.68,0.36,0.3,0.16574685,0.204,0.108
01/06/2014,Baked Beans,0.5719748,0.69,0.36,0.3,0.17159244,0.207,0.108
01/07/2014,Baked Beans,0.5625417,0.68,0.45,0.3,0.16876251,0.204,0.135
01/08/2014,Baked Beans,0.5824896,0.69,0.45,0.3,0.17474688,0.207,0.135
01/09/2014,Baked Beans,0.5630705,0.69,0.45,0.3,0.16892115,0.207,0.135
01/10/2014,Baked Beans,0.5527615,0.68,0.45,0.3,0.16582845,0.204,0.135
01/11/2014,Baked Beans,0.5761864,0.68,0.45,0.3,0.17285592,0.204,0.135
